DATA FOR BST
Array size	Insertion name	  Insertion time  Search time
      1000	Increasing	  0.001000	  0.001000
      4269	Increasing	  0.033000	  0.054000
      5000	Increasing	  0.041000	  0.062000
      7500	Increasing	  0.101000	  0.145000
      7551	Increasing	  0.095000	  0.144000
     10000	Increasing	  0.166000	  0.254000
     15155	Increasing	  0.390000	  0.583000
     20000	Increasing	  0.681000	  1.020000
     30000	Increasing	  1.532000	  2.298000
     40000	Increasing	  2.724000	  4.162000
      1000	    Random	  0.000000	  0.000000
      4269	    Random	  0.000000	  0.001000
      5000	    Random	  0.001000	  0.001000
      7500	    Random	  0.001000	  0.001000
      7551	    Random	  0.001000	  0.001000
     10000	    Random	  0.001000	  0.001000
     15155	    Random	  0.003000	  0.002000
     20000	    Random	  0.004000	  0.003000
     30000	    Random	  0.005000	  0.005000
     40000	    Random	  0.008000	  0.008000
      1000	    Binary	  0.000000	  0.000000
      4269	    Binary	  0.000000	  0.001000
      5000	    Binary	  0.001000	  0.001000
      7500	    Binary	  0.001000	  0.001000
      7551	    Binary	  0.001000	  0.001000
     10000	    Binary	  0.001000	  0.001000
     15155	    Binary	  0.002000	  0.002000
     20000	    Binary	  0.002000	  0.003000
     30000	    Binary	  0.003000	  0.005000
     40000	    Binary	  0.004000	  0.006000
