DATA FOR LIST
Array size:	    Shuffle	Insertion time	Search time
      1000	     false	  0.000000	  0.001000
      4269	     false	  0.001000	  0.028000
      5000	     false	  0.000000	  0.038000
      7500	     false	  0.000000	  0.087000
      7551	     false	  0.000000	  0.086000
     10000	     false	  0.000000	  0.161000
     15155	     false	  0.001000	  0.358000
     20000	     false	  0.001000	  0.617000
     30000	     false	  0.001000	  1.410000
     40000	     false	  0.002000	  2.482000
      1000	      true	  0.000000	  0.002000
      4269	      true	  0.000000	  0.027000
      5000	      true	  0.000000	  0.038000
      7500	      true	  0.000000	  0.085000
      7551	      true	  0.000000	  0.087000
     10000	      true	  0.001000	  0.152000
     15155	      true	  0.001000	  0.354000
     20000	      true	  0.000000	  0.620000
     30000	      true	  0.001000	  1.391000
     40000	      true	  0.002000	  2.508000
